month_key,month_id,name,quarter,year,decade
164,2018_August,August,3,2018,2010
165,2018_September,September,3,2018,2010
166,2018_October,October,4,2018,2010
167,2018_November,November,4,2018,2010
168,2018_December,December,4,2018,2010
169,2019_January,January,1,2019,2010
170,2019_February,February,1,2019,2010
171,2019_March,March,1,2019,2010
172,2019_April,April,2,2019,2010
173,2019_May,May,2,2019,2010
174,2019_June,June,2,2019,2010
175,2019_July,July,3,2019,2010
176,2019_August,August,3,2019,2010
177,2019_September,September,3,2019,2010
178,2019_October,October,4,2019,2010
179,2019_November,November,4,2019,2010
180,2019_December,December,4,2019,2010
181,2020_January,January,1,2020,2020
182,2020_February,February,1,2020,2020
183,2020_March,March,1,2020,2020
184,2020_April,April,2,2020,2020
185,2020_May,May,2,2020,2020
186,2020_June,June,2,2020,2020
187,2020_July,July,3,2020,2020
188,2020_August,August,3,2020,2020
189,2020_September,September,3,2020,2020
190,2020_October,October,4,2020,2020
191,2020_November,November,4,2020,2020
192,2020_December,December,4,2020,2020
