health_key,health_id,country,iso,year,Risk of catastrophic expenditure for surgical care (% of people at risk),"Immunization, BCG (% of one-year-old children)","Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70 (%)",Antiretroviral therapy coverage (% of people living with HIV),Lifetime risk of maternal death (%),"Nurses and midwives (per 1,000 people)","Physicians (per 1,000 people)","Incidence of malaria (per 1,000 population at risk)","Immunization, Hib3 (% of children ages 12-23 months)",Adults (ages 15+) and children (0-14 years) living with HIV,"Prevalence of overweight, female (% of female adults)","Mortality rate, adult, female (per 1,000 female adults)","Maternal mortality ratio (national estimate, per 100,000 live births)",AIDS estimated deaths (UNAIDS estimates),"Immunization, HepB3 (% of one-year-old children)",Low-birthweight babies (% of births),Prevalence of anemia among children (% of children ages 6-59 months),"Mortality rate, adult, male (per 1,000 male adults)","Immunization, Pol3 (% of one-year-old children)","Incidence of HIV, ages 15-49 (per 1,000 uninfected population ages 15-49)","Tuberculosis death rate (per 100,000 people)",Adults (ages 15-49) newly infected with HIV,"Prevalence of overweight, male (% of male adults)","Hospital beds (per 1,000 people)",Newborns protected against tetanus (%),Prevalence of undernourishment (% of population),"Immunization, DPT (% of children ages 12-23 months)","Incidence of tuberculosis (per 100,000 people)","Mortality rate, infant (per 1,000 live births)",Births attended by skilled health staff (% of total),Domestic general government health expenditure (% of GDP),Tuberculosis treatment success rate (% of new cases),"Immunization, measles (% of children ages 12-23 months)"
135,0,Kenya,KEN,2005,60.2,85,22.2,4,2.95788757463242,-1,-1,127.308125945037,76,1400000,26,372.515,-1,110000,76,12.24619,46.9,432.725,70,4.02,77,59000,12.5,-1,73,28.5,76,630,48,-1,1.48269117,81,69
136,1,Kenya,KEN,2006,54.6,92,22.3,9,2.77944497600631,-1,-1,100.052673323216,80,1400000,26.7,345.727,-1,100000,80,12.18654,45.3,402.479,77,3.84,78,58000,12.8,1.4,74,26.1,80,646,45.7,-1,1.45845628,83,77
137,2,Kenya,KEN,2007,49.5,92,22.7,13,2.60044345863232,-1,-1,78.0197423991887,81,1400000,27.4,318.939,-1,86000,81,12.115416,43.7,372.234,76,3.59,81,56000,13.1,-1,74,26.9,81,618,43.7,-1,1.55638492,83,80
138,3,Kenya,KEN,2008,47.7,98,22.7,18,2.43283960474894,0.3537,0.1664,67.6750623944762,88,1400000,28.2,294.401,-1,74000,88,12.043049,42,354.166,88,3.45,78,56000,13.4,-1,78,26.6,88,564,41.4,-1,1.63804531,84,90
139,4,Kenya,KEN,2009,45.3,99,22.4,25,2.21745886675819,0.3899,0.1686,67.9407051983387,88,1400000,28.9,269.863,724,62000,88,11.955961,40.7,336.098,89,3.27,80,55000,13.7,-1,78,24.1,88,566,40.4,43.8,1.68060637,84,88
140,5,Kenya,KEN,2010,43.6,99,22.2,31,2.00088770030527,0.7061,0.1696,67.7103660744612,90,1400000,29.6,245.325,-1,53000,90,11.8744049999999,39.9,318.03,90,3.06,79,53000,14,1.4,78,24.2,90,531,39.3,-1,1.77154577,86,86
141,6,Kenya,KEN,2011,42.2,99,22.1,39,1.80929928766685,-1,0.1748,67.8643447271046,96,1400000,30.4,220.788,-1,46000,96,11.7890669999999,39.4,299.962,97,2.79,77,49000,14.3,-1,73,23.9,96,506,38.5,-1,1.79380906,87,87
142,7,Kenya,KEN,2012,41.1,97,22,43,1.65887072149755,-1,0.1825,73.3558982496385,94,1400000,31.2,196.25,-1,40000,94,11.6989699999999,39.3,281.894,94,2.54,74,46000,14.7,-1,73,24.9,94,471,38.2,-1,1.81927824,86,93
143,8,Kenya,KEN,2013,41.3,92,21.9,47,1.57131905273998,0.8851,0.1907,82.4837687779605,93,1400000,31.9,191.875,-1,37000,93,11.615205,39.3,275.96,94,2.36,70,45000,15,-1,73,22.1,87,443,37.4,-1,1.85911059,86,94
144,9,Kenya,KEN,2014,39.3,94,21.5,54,1.49706223835255,0.9274,0.1959,83.866182364679,92,1400000,32.7,187.5,377,35000,92,11.538722,39.7,270.025,93,2.17,69,42000,15.4,-1,76,20.9,92,423,36.4,61.8,2.04217196,87,95
145,10,Kenya,KEN,2015,28.8,87,21.1,63,1.43086649337299,0.865,-1,72.1657240448546,89,1400000,33.5,183.125,-1,33000,89,11.466808,40.1,264.091,83,1.96,64,39000,15.7,-1,80,21.5,89,380,35.2,-1,2.10761213,87,96
146,11,Kenya,KEN,2016,23.4,99,20.8,72,1.36263594532044,1.0362,-1,70.3773547863369,90,1400000,34.3,178.751,-1,28000,89,-1,40.6,258.157,88,1.69,60,35000,16.1,-1,80,23.2,89,348,34.4,-1,2.2007997,81,96
147,12,Kenya,KEN,2017,22,89,20.8,78,1.31223804178557,1.0587,-1,70.0976437295955,82,1400000,-1,174.376,-1,25000,82,-1,41.4,252.222,81,1.48,50,31000,-1,-1,88,24.6,82,319,33.7,-1,1.77812445,83,89
148,13,Kenya,KEN,2018,23.1,95,21,77,-1,1.1656,0.1565,70.0976425191424,92,1400000,-1,194.507,-1,22000,92,-1,42,264.72,92,1.29,38,28000,-1,-1,88,24.4,92,292,32.7,-1,1.85613954,84,89
149,14,Kenya,KEN,2019,21.2,95,21,81,-1,-1,-1,-1,92,1400000,-1,191.416,-1,20000,92,-1,42.8,261.663,87,1.23,37,28000,-1,-1,88,24.8,92,267,32,-1,2.11127639,86,89
150,15,Kenya,KEN,2020,21.1,-1,-1,86,-1,-1,-1,-1,-1,1400000,-1,-1,-1,19000,-1,-1,-1,-1,-1,1.15,39,27000,-1,-1,-1,-1,-1,259,31.2,-1,-1,-1,-1
151,16,United States,USA,2005,0.9,-1,16.1,-1,0.0264402355219897,9.9177,-1,-1,94,-1,57,81.507,13,-1,93,8.15003399999999,5.9,141.969,92,-1,0.25,-1,67,3.2,-1,2.5,96,5.5,6.7,99.4,6.62940884,83,92
152,17,United States,USA,2006,0.9,-1,15.7,-1,0.027052392044394,-1,-1,-1,93,-1,57.6,80.928,13,-1,93,8.18139359999999,5.8,141.119,93,-1,0.24,-1,67.6,3.18,-1,2.5,96,5.3,6.7,99.4,6.80890989,84,92
153,18,United States,USA,2007,1,-1,15.4,-1,0.0271870191934373,-1,-1,-1,93,-1,58.2,79.447,14,-1,93,8.1905003,5.8,138.605,93,-1,0.21,-1,68.1,3.14,-1,2.5,96,5.1,6.6,99.3,6.9233551,85,92
154,19,United States,USA,2008,1,-1,15.2,-1,0.0276597278498364,-1,-1,-1,91,-1,58.8,78.705,13,-1,94,8.18201919999999,5.8,136.811,94,-1,0.21,-1,68.7,3.13,-1,2.5,96,4.9,6.5,99.3,7.25172758,86,92
155,20,United States,USA,2009,0.8,-1,14.9,-1,0.0286108491552721,-1,-1,-1,84,-1,59.4,79.055,14,-1,92,8.1606035,5.8,134.966,93,-1,0.19,-1,69.2,3.08,-1,2.5,95,4.3,6.4,99.3,7.87523222,62,90
156,21,United States,USA,2010,0.7,-1,14.5,-1,0.0282222335556632,12.5927,-1,-1,90,960000,59.9,77.159,15,-1,92,8.13091949999999,5.8,131.884,93,0.23,0.2,34000,69.8,3.05,-1,2.5,95,4.2,6.2,99.4,7.94476509,66,92
157,22,United States,USA,2011,0.7,-1,14.3,-1,0.0290083081598091,-1,-1,-1,94,990000,60.5,77.926,14,-1,91,8.09761619999999,5.8,132.138,94,0.22,0.19,33000,70.3,2.97,-1,2.5,96,3.9,6.1,99.3,7.92789316,80,92
158,23,United States,USA,2012,0.7,-1,14.2,-1,0.0291022604654148,-1,-1,-1,93,1000000,61,77.717,-1,-1,90,8.0653591,5.8,131.355,93,0.22,0.17,33000,70.8,2.93,-1,2.5,94,3.6,6,99.3,7.90049934,84,91
159,24,United States,USA,2013,0.8,-1,14,-1,0.0294522098422075,-1,-1,-1,93,1000000,61.6,78.093,-1,-1,91,8.0388079,5.8,131.269,93,0.21,0.19,31000,71.3,2.89,-1,2.5,94,3.3,6,99.2,7.94619036,83,92
160,25,United States,USA,2014,0.7,-1,13.9,-1,0.0301588886249902,-1,-1,-1,93,1100000,62.1,79.382,19,-1,92,8.02261449999999,5.8,131.889,93,0.22,0.16,32000,71.8,2.83,-1,2.5,95,3.2,5.9,98.5,8.23888111,85,92
161,26,United States,USA,2015,0.7,-1,13.9,-1,0.0319954017294704,-1,-1,-1,93,1100000,62.6,80.43,18,-1,92,8.0214396,5.8,134.324,93,0.22,0.16,32000,72.3,2.8,-1,2.5,95,3.2,5.8,99.1,8.45250511,83,92
162,27,United States,USA,2016,0.7,-1,14,-1,0.0341953041362802,-1,-1,-1,93,1100000,63.2,82.117,19,-1,93,-1,5.9,138.526,94,0.22,0.17,32000,72.7,2.77,-1,2.5,95,3.1,5.7,99.1,8.55732727,80,92
163,28,United States,USA,2017,0.6,-1,13.8,-1,0.0335572948257602,14.5812,-1,-1,93,1100000,-1,81.996,-1,-1,93,-1,5.9,139.245,94,0.21,0.17,31000,-1,2.87,-1,2.5,95,3.1,5.7,99.1,8.51218987,77,92
164,29,United States,USA,2018,0.6,-1,13.6,-1,-1,15.685,2.6036,-1,92,1200000,-1,80.603,-1,-1,91,-1,6,137.542,93,0.21,0.17,30000,-1,-1,-1,2.5,94,3,5.6,99.1,8.47234249,79,92
165,30,United States,USA,2019,0.6,-1,13.6,-1,-1,-1,-1,-1,91,1200000,-1,-1,-1,-1,91,-1,6.1,-1,93,0.2,0.17,29000,-1,-1,-1,2.5,94,3,5.5,-1,8.52492332,75,90
166,31,United States,USA,2020,0.6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.17,-1,-1,-1,-1,-1,-1,2.4,5.4,-1,-1,-1,-1
167,32,Canada,CAN,2005,0.7,-1,12.7,-1,0.0165578773158437,9.9467,-1,-1,93,43000,52.8,57.101,8,-1,14,5.969686,10.3,94.329,93,-1,0.41,-1,64.4,3.1,-1,2.5,93,5.5,5.2,98.8,6.59905815,70,94
168,33,Canada,CAN,2006,0.5,-1,12.3,-1,0.0168764994384076,10.0236,1.9086,-1,95,45000,53.4,55.857,7,-1,14,6.013186,10.3,91.806,95,-1,0.39,-1,65,3.02,-1,2.5,95,5.4,5.2,98.8,6.4866991,60,93
169,34,Canada,CAN,2007,0.5,-1,12.2,-1,0.0173712602182757,10.1208,-1,-1,93,46000,53.9,55.455,7,-1,14,6.0473971,10.3,91.762,99,-1,0.39,-1,65.5,2.96,-1,2.5,94,5.3,5.1,98.8,6.57271051,67,94
