Dis No,Year,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Event Name,ISO,Start Year,Start Month,End Year,End Month,Total Deaths,Total Affected,"Total Damages, Adjusted ('000 US$)",CPI
2007-0048-USA,2007,Natural,Meteorological,Storm,Convective storm,,USA,2007,2,2007,2,20,6600,169893,76.5186792
2007-0041-USA,2007,Natural,Hydrological,Flood,Riverine flood,,USA,2007,1,2007,1,24,,,76.5186792
2007-0160-AUS,2007,Natural,Hydrological,Flood,Flash flood,,AUS,2007,6,2007,6,9,5000,1698932,76.5186792
2007-0591-AUS,2007,Natural,Meteorological,Storm,Tropical cyclone,George and Jacob,AUS,2007,3,2007,3,2,820,130687,76.5186792
2007-0714-AUS,2007,Technological,Technological,Transport accident,Rail,,AUS,2007,6,2007,6,11,23,,76.5186792
2007-0165-CAN,2007,Natural,Hydrological,Flood,Riverine flood,,CAN,2007,6,2007,6,,500,,76.5186792
2007-0621-CAN,2007,Natural,Meteorological,Storm,,,CAN,2007,12,2007,12,4,,,76.5186792
2007-0349-CHE,2007,Natural,Hydrological,Flood,Riverine flood,,CHE,2007,8,2007,8,1,101,457405,76.5186792
2007-0349-DEU,2007,Natural,Hydrological,Flood,Riverine flood,,DEU,2007,8,2007,8,1,,,76.5186792
2007-0223-DEU,2007,Technological,Technological,Transport accident,Road,,DEU,2007,6,2007,6,13,30,,76.5186792
2008-0525-AUS,2008,Natural,Meteorological,Storm,Convective storm,,AUS,2008,11,2008,11,1,12000,566349,79.4563044
2008-0581-AUS,2008,Natural,Hydrological,Flood,Riverine flood,,AUS,2008,11,2008,11,4,1200,346102,79.4563044
2008-0653-DEU,2008,Natural,Meteorological,Storm,Convective storm,Hilal,DEU,2008,5,2008,6,3,,1887830,79.4563044
2008-0082-DEU,2008,Natural,Meteorological,Storm,Extra-tropical storm,Emma,DEU,2008,2,2008,3,5,,1510264,79.4563044
2008-0264-CAN,2008,Natural,Hydrological,Flood,Riverine flood,,CAN,2008,4,2008,5,,2000,,79.4563044
2008-0014-AUS,2008,Natural,Hydrological,Flood,Riverine flood,,AUS,2008,1,2008,1,1,3000,113270,79.4563044
2008-0017-AUS,2008,Natural,Hydrological,Flood,Riverine flood,,AUS,2008,1,2008,2,,3200,755132,79.4563044
2008-0098-AUS,2008,Natural,Hydrological,Flood,Riverine flood,,AUS,2008,2,2008,2,2,1000,1384409,79.4563044
2008-0170-CAN,2008,Natural,Hydrological,Flood,Riverine flood,,CAN,2008,4,2008,4,,400,,79.4563044
